City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Souillac,-20.52,57.52,69.8,68,40,9.17,MU,scattered clouds
1,Kovur,14.48,79.98,76.17,76,48,3.98,IN,scattered clouds
2,Atuona,-9.8,-139.03,77.47,79,68,15.12,PF,light rain
3,Bethel,41.37,-73.41,52.0,93,90,4.7,US,mist
4,Upernavik,72.79,-56.15,15.85,92,97,3.89,GL,overcast clouds
5,Busselton,-33.65,115.33,57.99,77,84,5.48,AU,broken clouds
6,Butaritari,3.07,172.79,82.29,78,6,10.33,KI,clear sky
7,Pisco,-13.7,-76.22,64.4,82,90,13.87,PE,overcast clouds
8,Arraial Do Cabo,-22.97,-42.03,71.6,64,75,14.99,BR,broken clouds
9,Luohe,33.57,114.04,54.54,40,50,5.23,CN,scattered clouds
10,Qaanaaq,77.48,-69.36,2.66,74,0,7.16,GL,clear sky
11,Ushuaia,-54.8,-68.3,59.0,54,75,18.34,AR,broken clouds
12,Talnakh,69.49,88.4,21.2,85,100,13.42,RU,light snow
13,Ponta Do Sol,32.67,-17.1,69.01,72,20,4.7,PT,few clouds
14,Faanui,-16.48,-151.75,80.6,78,15,21.68,PF,few clouds
15,Tasiilaq,65.61,-37.64,26.6,86,77,9.17,GL,broken clouds
16,Sibiti,-3.68,13.35,69.26,100,100,3.24,CG,light rain
17,Mount Isa,-20.73,139.5,84.2,14,0,12.75,AU,clear sky
18,Hobart,-42.88,147.33,64.99,72,75,10.29,AU,broken clouds
19,Nanortalik,60.14,-45.24,32.2,84,0,39.17,GL,clear sky
20,Flinders,-34.58,150.86,66.99,73,75,5.99,AU,broken clouds
21,Santa Maria,-29.68,-53.81,71.6,49,40,8.05,BR,scattered clouds
22,Cape Town,-33.93,18.42,66.99,72,0,8.05,ZA,clear sky
23,Gorontalo,0.54,123.06,79.39,72,100,4.79,ID,overcast clouds
24,Vaini,-21.2,-175.2,78.8,78,75,12.75,TO,broken clouds
25,Yaan,7.38,8.57,76.03,84,100,4.92,NG,overcast clouds
26,Khatanga,71.97,102.5,5.32,95,99,6.17,RU,overcast clouds
27,Inirida,3.87,-67.92,71.38,99,100,1.41,CO,light rain
28,Omboue,-1.57,9.26,75.11,91,99,2.93,GA,overcast clouds
29,Vao,-22.67,167.48,74.3,84,66,17.0,NC,broken clouds
30,Vestmannaeyjar,63.44,-20.27,39.27,73,0,17.54,IS,clear sky
31,Nikolskoye,59.7,30.79,33.8,100,90,8.95,RU,overcast clouds
32,Danane,7.26,-8.15,71.83,95,60,0.98,CI,broken clouds
33,Kodiak,57.79,-152.41,32.0,85,90,10.29,US,overcast clouds
34,Tual,-5.67,132.75,83.53,71,100,14.58,ID,overcast clouds
35,Port Alfred,-33.59,26.89,65.32,85,38,19.08,ZA,scattered clouds
36,Rikitea,-23.12,-134.97,74.32,86,89,23.06,PF,light rain
37,Salalah,17.02,54.09,75.2,53,0,4.7,OM,clear sky
38,Punta Gorda,26.93,-82.05,81.0,88,90,5.82,US,overcast clouds
39,Kruisfontein,-34.0,24.73,64.0,81,18,3.0,ZA,few clouds
40,Saskylakh,71.92,114.08,-10.08,88,75,10.36,RU,broken clouds
41,Leningradskiy,69.38,178.42,15.4,82,86,5.53,RU,overcast clouds
42,Tiksi,71.69,128.87,-4.99,89,0,6.91,RU,clear sky
43,Cherskiy,68.75,161.3,2.17,93,99,4.9,RU,overcast clouds
44,Kavaratti,10.57,72.64,80.92,72,0,2.95,IN,clear sky
45,Hilo,19.73,-155.09,86.0,58,40,6.93,US,scattered clouds
46,Ahipara,-35.17,173.17,71.08,66,95,7.29,NZ,overcast clouds
47,Punta Arenas,-53.15,-70.92,53.6,76,75,11.41,CL,broken clouds
48,Nampula,-15.12,39.27,71.2,89,16,1.63,MZ,few clouds
49,Kabo,7.7,18.63,72.59,82,89,2.28,CF,overcast clouds
50,Hami,42.8,93.45,37.11,66,0,5.39,CN,clear sky
51,Puerto Palomas,31.77,-107.62,73.4,20,1,12.75,MX,clear sky
52,Lebu,-37.62,-73.65,54.54,90,69,7.09,CL,broken clouds
53,Atar,20.52,-13.05,81.9,17,100,7.38,MR,overcast clouds
54,Airai,-8.93,125.41,69.6,59,87,2.84,TL,overcast clouds
55,Naryan-Mar,67.67,53.09,28.81,98,99,13.02,RU,overcast clouds
56,Yumen,40.28,97.2,27.32,89,0,2.44,CN,clear sky
57,Ribeira Grande,38.52,-28.7,64.4,68,75,6.93,PT,broken clouds
58,Georgetown,5.41,100.34,78.8,88,20,3.36,MY,thunderstorm
59,Lagoa,39.05,-27.98,63.3,72,93,18.07,PT,overcast clouds
60,Kawalu,-7.38,108.21,71.78,91,38,2.08,ID,scattered clouds
61,Zaozerne,45.16,33.28,54.1,79,97,11.21,UA,light rain
62,Bredasdorp,-34.53,20.04,64.4,88,49,10.29,ZA,scattered clouds
63,Dunlop,-35.19,149.02,61.0,65,14,5.99,AU,few clouds
64,Donegal,54.65,-8.12,45.5,86,88,8.48,IE,light rain
65,Mahebourg,-20.41,57.7,69.8,68,40,9.17,MU,scattered clouds
66,Bluff,-46.6,168.33,53.01,72,91,13.0,NZ,overcast clouds
67,Hasaki,35.73,140.83,55.4,93,75,1.12,JP,fog
68,Tura,25.52,90.22,68.34,96,97,1.68,IN,overcast clouds
69,Mataura,-46.19,168.86,53.01,72,50,13.0,NZ,scattered clouds
70,Bambous Virieux,-20.34,57.76,69.8,68,40,9.17,MU,scattered clouds
71,Labuan,5.28,115.24,78.8,83,20,3.36,MY,few clouds
72,Bengkulu,-3.8,102.27,75.45,88,99,4.56,ID,overcast clouds
73,Pauini,-7.71,-66.98,77.49,83,87,2.15,BR,light rain
74,Tallahassee,30.44,-84.28,77.0,53,20,10.29,US,few clouds
75,New Norfolk,-42.78,147.06,64.99,65,100,1.01,AU,overcast clouds
76,Dikson,73.51,80.55,17.24,98,96,8.14,RU,overcast clouds
77,Chuy,-33.7,-53.46,53.94,79,0,5.73,UY,clear sky
78,Victoria,22.29,114.16,75.0,70,76,6.8,HK,light rain
79,Harbin,45.75,126.65,33.01,85,0,8.95,CN,clear sky
80,Kuliyapitiya,7.47,80.04,78.8,94,40,2.24,LK,scattered clouds
81,Provideniya,64.38,-173.3,21.2,67,0,4.47,RU,clear sky
82,Cabo San Lucas,22.89,-109.91,89.01,36,30,4.0,MX,scattered clouds
83,Hermanus,-34.42,19.23,64.0,83,13,7.0,ZA,few clouds
84,Necochea,-38.55,-58.74,64.99,57,32,5.01,AR,scattered clouds
85,Jamestown,42.1,-79.24,35.01,98,90,19.46,US,fog
86,Mandera,3.94,41.87,80.71,65,25,13.06,KE,scattered clouds
87,Bud,39.45,-86.18,39.2,48,75,11.41,US,broken clouds
88,Mount Gambier,-37.83,140.77,60.8,82,56,9.17,AU,broken clouds
89,Sao Joao Da Barra,-21.64,-41.05,71.6,73,75,19.46,BR,broken clouds
90,Egvekinot,66.32,-179.17,11.37,89,29,1.92,RU,scattered clouds
91,Chapais,49.78,-74.85,32.0,100,90,8.05,CA,light snow
92,Neiafu,-18.65,-173.98,80.6,78,75,12.75,TO,broken clouds
93,Avarua,-21.21,-159.78,78.8,83,73,13.87,CK,light rain
94,Saint-Nazaire,47.28,-2.2,62.6,93,90,23.04,FR,overcast clouds
95,Grand Gaube,-20.01,57.66,68.0,68,62,1.99,MU,broken clouds
96,Nardaran,40.56,50.01,57.2,93,40,4.7,AZ,fog
97,Komsomolskiy,40.43,71.72,46.4,36,100,4.7,UZ,overcast clouds
98,Thompson,55.74,-97.86,24.8,85,75,9.17,CA,broken clouds
99,Tarakan,3.3,117.63,77.07,87,100,6.04,ID,moderate rain
100,Lieto,60.51,22.46,48.2,76,90,14.99,FI,overcast clouds
101,Sibolga,1.74,98.78,75.67,82,95,2.55,ID,moderate rain
102,Carnarvon,-24.87,113.63,68.0,72,40,16.11,AU,scattered clouds
103,Albany,42.6,-73.97,46.99,86,98,11.21,US,heavy intensity rain
104,Poya,-21.35,165.15,84.15,53,47,2.84,NC,scattered clouds
105,Kaitangata,-46.28,169.85,53.01,62,51,8.99,NZ,broken clouds
106,East London,-33.02,27.91,65.43,83,73,14.47,ZA,light rain
107,Kasamwa,-2.85,32.43,68.95,77,90,3.38,TZ,overcast clouds
108,Chicama,-7.84,-79.15,64.92,73,94,7.29,PE,overcast clouds
109,Hambantota,6.12,81.12,77.0,100,40,1.12,LK,scattered clouds
